step,x,y,wall_time,sim_time
64,-0.9560779194212986,-0.7789396878739887,7.13758370699361,7.12
65,-0.9718898759246847,-0.7770102009858536,7.2376978730317205,7.220000000000001
66,-0.9791960034781567,-0.7754920538187299,7.337706451071426,7.32
67,-0.9815588332484266,-0.7747410356621491,7.43767828005366,7.42
68,-0.9813907170868312,-0.7749104948712576,7.5374660200905055,7.5200000000000005
69,-0.9813053131668555,-0.774959962298994,7.638601707993075,7.62
70,-0.9817951966271984,-0.7743481818715838,7.738638715120032,7.720000000000001
71,-0.981774922578125,-0.7744547156347859,7.838774782139808,7.82
72,-0.9817986393543818,-0.7744276147500018,7.938757180003449,7.92
73,-0.9818287226543733,-0.7743550390474974,8.038803918054327,8.02
74,-0.9819969124971242,-0.7751366384961167,8.138953814981505,8.120000000000001
75,-0.9795381351453843,-0.7690108378088052,8.238868654007092,8.22
76,-0.9708543131373323,-0.7550773969674863,8.339341568062082,8.32
77,-0.9564268343784038,-0.7386970190387833,8.439121338073164,8.42
78,-0.9394286334471048,-0.7243268504769942,8.538952036993578,8.52
79,-0.920307373681391,-0.7128755898723843,8.639334882143885,8.620000000000001
80,-0.8994482259075389,-0.7049787672796776,8.739114412106574,8.72
81,-0.8774818007779405,-0.7010657464626339,8.839460557093844,8.82
82,-0.8551677966607584,-0.7013696784219466,8.93918137694709,8.92
83,-0.8333291256421885,-0.7059594280258407,9.039308774052188,9.02
84,-0.812808875774034,-0.7147096972255529,9.139631449943408,9.120000000000001
85,-0.7940463776448627,-0.7263856675771339,9.23929690103978,9.22
86,-0.7755814071262556,-0.7381014126443185,9.339319409104064,9.32
87,-0.755985248867545,-0.747668894386483,9.439455805113539,9.42
88,-0.7368045078345516,-0.7530718264740267,9.539822719991207,9.52
