t_wall,t_sim,x,y,yaw,robot_tilt_raw,cmd_linear,cmd_angular,goal_x,goal_y
23.878684282302856,23.836000000000002,1.8895022026734491,-0.41075145454301915,-0.6548216428316385,0.002828347710497459,0.0,0.0,2.0,-0.5
23.898701906204224,23.856,1.8895021732547703,-0.4107514297495619,-0.6548207967674418,0.0028279732348778066,0.0,0.0,2.0,-0.5
23.918710231781006,23.876,1.889502079176501,-0.4107513614859322,-0.6548203611824015,0.0028213123437345173,0.0,0.0,2.0,-0.5
23.938727378845215,23.896,1.889501880758723,-0.4107512129060586,-0.6548205766725803,0.0028090488452728484,0.0,0.0,2.0,-0.5
23.958738565444946,23.916,1.8895015861458928,-0.41075098440901286,-0.6548210673163807,0.0027925836711192114,0.0,0.0,2.0,-0.5
23.97874689102173,23.936,1.8895012712674284,-0.41075075372650544,-0.6548213417079587,0.002771608494844463,0.0,0.0,2.0,-0.5
23.99874496459961,23.956,1.8895008750770526,-0.4107504471172984,-0.6548211524872384,0.0027485065816569283,0.0,0.0,2.0,-0.5
24.018741369247437,23.976,1.8895004758161629,-0.41075014455915476,-0.6548207787312186,0.0027235800984410793,0.0,0.0,2.0,-0.5
24.03874635696411,23.996,1.889500041211115,-0.4107498086049739,-0.6548206456251491,0.0026985491758821385,0.0,0.0,2.0,-0.5
24.058747053146362,24.016000000000002,1.889499647553144,-0.4107495078437733,-0.6548208219299063,0.00267468479684561,0.0,0.0,2.0,-0.5
24.078789234161377,24.036,1.8894992786515423,-0.4107492316454462,-0.6548210705235741,0.0026523704519528873,0.19237151861190796,0.061506450176239014,2.0,-0.5
24.098694324493408,24.056,1.889816155247129,-0.41099254562274085,-0.6548234686032705,0.0026178313732735186,0.1928962755203247,0.07268024981021881,2.0,-0.5
24.120688676834106,24.076,1.8904507574552503,-0.4114795946805023,-0.6548370493198649,0.002571459439087925,0.0,0.0,2.0,-0.5
